temperature,wind_speed,mean_sea_level_pressure,surface_solar_radiation,surface_thermal_radiation,total_cloud_cover,relative_humidity
18.26,2.6,101046.38,287.01,408.35,1,0.89
18.67,2.91,101037.96,360.79,411.02,1,0.86
18.16,3.26,101017.26,291.54,410.67,1,0.87
18.46,3.17,101022.56,357.11,410.95,1,0.82
18.53,2.95,100940.03,459.91,410,0.9,0.8
18.92,2.62,100885.16,513.07,407.46,0.96,0.79
19.22,2.87,100825.28,312.21,411.98,0.94,0.77
19.41,3.01,100801.35,211.4,406.76,0.9,0.76
19.67,2.72,100817.06,112.08,404.2,0.89,0.74
20.28,1.94,100834.75,57.45,401.17,0.89,0.71
18.37,2.98,100747.92,12.69,388.98,0.68,0.83
18.66,2.97,100776.94,0,397.29,0.81,0.82
17.71,2.67,100777.38,0,395.51,0.95,0.87
17.93,2.23,100784.78,0,397.81,0.95,0.87
17.77,2.59,100821.04,0,374.95,0.95,0.9
17.13,3.63,100796.68,0,386.09,1,0.92
16.79,4.05,100778.87,0,388.44,1,0.94
16.51,4.32,100803.07,0,391.23,1,0.94
15.59,4.44,100881.48,0,396.73,1,0.94
15.4,3.89,100955.75,0,378.62,1,0.91
15.51,3.64,101028.83,9.8,379.78,1,0.91
15.67,4.2,101087.23,44.02,379.38,1,0.91
16.12,5.11,101141.39,95.41,378.74,1,0.83
16.04,5.37,101198.49,167.84,376.88,1,0.81
17.41,6.11,101207.29,266.36,375.76,1,0.67
18.02,6.31,101244.32,458.11,366.75,0.91,0.61
17.96,6.27,101252.65,530.36,366.98,0.93,0.61
18.95,6.59,101294.74,650.21,368.1,0.84,0.55
19.01,6.46,101294.32,740.53,338.09,0.94,0.56
19.08,6.42,101296.77,641.91,348.62,0.99,0.56
18,7.01,101310.63,500.24,368.41,1,0.61
17.38,7.32,101375.18,247.78,375.62,0.99,0.66
17.07,6.92,101457.76,116.61,376.52,0.99,0.69
17.26,6.64,101545.1,65.87,368.9,0.98,0.64
15.4,6.62,101601.01,13.3,363.02,0.99,0.65
15.44,6.22,101682.91,0,352.53,0.99,0.63
14.41,5.87,101698.29,0,360.14,0.98,0.64
14.45,5.49,101721.85,0,359.48,1,0.64
14.51,5.21,101710.58,0,359.43,0.99,0.63
13.76,4.83,101676.07,0,346.88,0.99,0.66
13.73,4.6,101676.29,0,340.59,0.99,0.67
13.84,4.47,101685.57,0,341.29,0.99,0.66
13.82,4.25,101700.47,0,341.49,0.98,0.66
13.86,3.83,101750.83,0,351.77,0.98,0.66
13.96,4.02,101805.51,20.9,355.38,0.95,0.65
13.9,4.76,101860.42,108.99,343.54,1,0.66
15.39,5.3,101953.86,205.39,356.65,1,0.63
15.36,5.23,101999.58,340.14,362.09,1,0.63
16.29,5.05,102004.34,399.56,357.95,1,0.6
16.86,5.03,102002.75,491.86,361.81,1,0.58
17.01,5.11,101986.48,674.66,360.28,1,0.57
18.14,5.14,101976.39,750.99,360.19,0.95,0.55
18.06,5.27,101960.09,798.62,342.95,0.93,0.55
17.97,5.31,101936.77,768.31,335.29,0.9,0.56
17.79,5.07,101912.14,644.7,338.21,0.86,0.57
17.85,4.76,101908.71,394.13,345.3,0.82,0.56
17.88,4.72,101920.49,299.36,337.15,0.73,0.56
18.05,4.52,101962.3,150.95,329.69,0.79,0.55
15.57,3.97,102000.32,21.55,313.58,0.91,0.64
15.59,3.57,102006.54,0,305.26,0.92,0.65
14.16,3.26,101995.7,0,301.2,0.94,0.71
14.18,3.09,101992.37,0,308.66,0.75,0.71
14.08,2.88,101945.39,0,304.04,0.62,0.72
12.94,2.82,101898.04,0,301.23,0.46,0.77
12.51,2.62,101825.57,0,291.78,0.2,0.78
12.15,2.45,101808.18,0,291.22,0.13,0.8
11.05,2.29,101819.38,0,283.63,0.08,0.83
11.49,2.14,101847.98,0,287.81,0.06,0.81
11.58,2.22,101881.33,45.62,289.19,0.03,0.84
11.85,2.16,101892.65,213.52,287.02,0.02,0.81
16.08,2.14,101906.62,439.72,288.78,0.01,0.64
16.29,1.1,101877.28,652.29,297.04,0.02,0.63
18.88,0.98,101814.57,835.01,301.51,0.48,0.56
20.6,0.62,101782.53,967.85,309,0.64,0.49
21.11,0.72,101717.53,1031.98,319.15,0.78,0.49
23.34,1.32,101625.17,1066.87,323.93,0.56,0.45
23.75,1.93,101553.08,1036.16,327.79,0.37,0.45
23.99,2.47,101456.35,937.46,331.02,0.05,0.45
24.25,3.43,101393.78,789.53,333.31,0,0.44
24.15,4.33,101375.85,600.08,332.26,0,0.45
23.84,4.76,101375.53,387,333.55,0,0.46
23.7,4.5,101421.02,177.99,332.69,0,0.47
19.89,4.05,101441.75,24.72,328.23,0,0.62
19.39,3.1,101466.75,0,324.26,0,0.65
16.72,2.2,101427.29,0,320.69,0,0.79
